reducer,date,NDVI,NDBI,IBI,UI
mean,2017-03-30,0.11846327150953512,0.014458590760895307,-35.665661096080676,-0.04664485162793962
mean,2017-04-06,0.11390436166674654,-0.05145912508411086,-0.28496238708924465,-0.1195882502612764
mean,2017-04-16,0.12206951995137609,-0.15218075493570754,-5.367963129946909,-0.2008767055045322
mean,2017-04-19,0.11045729496556282,0.003237929633650088,-0.40424831539533945,-0.06521708725017226
mean,2017-04-26,0.19213810414999635,-0.24197978140175588,3.951971587445059,-0.30328239220109526
mean,2017-04-29,0.1571937080674922,-0.09026345090078523,1.4121890952804832,-0.2111132750942694
mean,2017-05-06,0.14584922028383066,-0.30325135539849113,-1.374362661753701,-0.3667012627723953
mean,2017-05-09,0.11344341388817077,0.03312720474680006,0.37499464668026733,-0.042228576637875194
mean,2017-05-19,0.10715287525335732,0.030155954385034545,-3.3149458060833465,-0.03009953351131525
mean,2017-05-26,0.12544851913601493,-0.32196783596335926,1.377447447460149,-0.3762559027069862
mean,2017-05-29,0.14350062786785975,-0.0075374815522680685,-0.7113041745720222,-0.11149177313567414
mean,2017-06-05,0.09979442341021671,-0.08374631048536947,3.0938699726239403,-0.13002681920415232
mean,2017-06-08,0.2485834927596519,-0.1041464044912422,1.4232397595269033,-0.2818953642582647
mean,2017-06-15,0.12557043148365438,-0.1400782746419204,-6.268219388799954,-0.22040659320160236
mean,2017-06-18,0.07146404435506784,-0.051748149693996666,2.4024706399234943,-0.14608696556717626
mean,2017-06-25,0.0873729335376352,-0.1228503258725341,3.8119806910517218,-0.16440465246914535
mean,2017-06-28,0.07552721289778283,0.06774589267492595,2.572231810876027,0.0044782142498468675
mean,2017-07-05,0.09137741096182314,-0.37040444682904106,2.1126163656924795,-0.4099229081323216
mean,2017-07-18,0.14202795926537212,0.008685719319526636,-12.107308599686467,-0.12319478771247162
mean,2017-07-25,0.12533517529645735,-0.13410521518575483,-0.9339581166648653,-0.19447601444136883
mean,2017-07-28,0.08725004342249429,0.04587314209593243,-33.09165634568747,-0.019230337589163336
mean,2017-08-04,0.13023736335357675,-0.2035233081934337,1.1070720048409168,-0.25250803522528725
mean,2017-08-14,0.11866337055565555,-0.16206586393054856,0.5270558721192832,-0.23439846908925951
mean,2017-08-17,0.08996250290767832,0.06151792496259561,14.939880726180958,-0.003583444495731236
mean,2017-08-24,0.11067926484489153,-0.07789724361223734,7.677230901420965,-0.14297818740334764
mean,2017-08-27,0.09607064331773287,0.05403121230970823,8.273754299161338,-0.012819024988764745
mean,2017-09-03,0.08517749351917506,0.0578023361558898,-2.8666450746431167,-0.019002821013124838
mean,2017-09-06,0.11019001801957808,0.041752839294362486,-1.2521350411905652,-0.024456073625986965
mean,2017-09-13,0.10417224888632266,0.045722746721996006,-2.4413125011499726,-0.022762654493458358
mean,2017-09-16,0.10224890559256936,0.04839344226337108,2.0577278795341143,-0.016646460747775364
mean,2017-09-23,0.0991144420370079,0.036618747488518046,-53.474000945643965,-0.02867943432806714
mean,2017-09-26,0.089393275533378,0.049192540234030024,3.9899036176840124,-0.018973516356268153
mean,2017-10-03,0.1680913896231082,-0.061536569366269445,0.7910944541514877,-0.22201617782209207
mean,2017-10-06,0.10695013385054458,0.0538143188175897,-6.383589228137007,-0.010376258834536467
mean,2017-10-13,0.10813850163771604,0.03984086939993217,-19.684956930095705,-0.02612221089680476
mean,2017-10-16,0.10110399274454217,0.05096247236535536,-18.28221674182923,-0.012479860092488169
mean,2017-10-23,0.26333265022574887,-0.14985073046282973,0.7263534970390125,-0.34308219789470334
mean,2017-10-26,0.1116307597775473,0.00643337213523913,-7.042684529035878,-0.05789365585644092
mean,2017-11-02,0.13671421741930556,0.042716831928748616,20.839342394275455,-0.027359358462873254
mean,2017-11-05,0.1116307597775473,0.00643337213523913,-7.042684529035878,-0.05789365585644092
mean,2017-11-12,0.1116307597775473,0.00643337213523913,-7.042684529035878,-0.05789365585644092
mean,2017-11-15,0.08193199856562669,-0.1406986443778445,1.8430288428710626,-0.3154030633316083
mean,2017-11-22,0.12012237094112262,0.04563816492992699,-0.6757437180082286,-0.02395867584207938
mean,2017-11-25,0.1116307597775473,0.00643337213523913,-7.042684529035878,-0.05789365585644092
mean,2017-12-02,0.1116307597775473,0.00643337213523913,-7.042684529035878,-0.05789365585644092
mean,2017-12-05,0.1230441257926156,0.04138129666290366,0.6636595046236927,-0.02830634295815581
mean,2017-12-12,0.11318674146508693,0.03108191433946673,0.33475261057521444,-0.05442639044805744
mean,2017-12-15,0.10054528434376073,0.07569764680565119,-3.763132482117136,0.009710197072288687
mean,2017-12-17,0.1116307597775473,0.00643337213523913,-7.042684529035878,-0.05789365585644092
mean,2017-12-20,0.1116307597775473,0.00643337213523913,-7.042684529035878,-0.05789365585644092
mean,2017-12-22,0.1116307597775473,0.00643337213523913,-7.042684529035878,-0.05789365585644092
mean,2017-12-25,0.11316409386981176,0.047357439952481144,-2.2952311801058434,-0.030190807896325077
mean,2017-12-27,0.1248877516559281,0.026311827455514584,-2.5154587045920778,-0.04907823747390104
mean,2017-12-30,0.11691301914478498,0.06433424136138012,3.8618584592278586,0.00836912480721089
mean,2018-01-01,0.12606893459235158,0.015909469721340774,0.9527646088836504,-0.06569181698525406
mean,2018-01-04,0.1116307597775473,0.00643337213523913,-7.042684529035878,-0.05789365585644092
mean,2018-01-06,0.11591977192429284,0.018623640435011263,-68.53587225998788,-0.04545759799139124
mean,2018-01-09,0.1116307597775473,0.00643337213523913,-7.042684529035878,-0.05789365585644092
